
 Lista de Imóveis da Caixa;;Data de geração:;14/08/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 10285152 ;MG ;BELO HORIZONTE ;JARDIM VITORIA ;RUA MARIA DA CONCEICAO FURTADO (2468), N. s/n, LT 01, QD 216 ;203.940,58;320.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 353.59 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10285152
 1555508613358 ;MG ;BELO HORIZONTE ;BANDEIRANTES (PAMPULHA) ;RUA PAVIA, N. SN, LT 10 E 11, QD 8, FRENTE COM RUA TRENT ;558.287,33;876.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555508613358
 1600000219995 ;MG ;BELO HORIZONTE ;SANTA MONICA ;RUA ALZIRA MARIA FERREIRA, N. 306, LT 56 QT 67 ;675.553,16;1.060.000,00;36.27;Sim;Casa, 225.27 de área total, 225.27 de área privativa, 360.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s).;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000219995
 8444415971102 ;MG ;BELO HORIZONTE ;SANTA MONICA ;RUA DOS UAICAS, N. 743, Apto 104, BL 04 ;191.831,60;301.000,00;36.27;Sim;Apartamento, 51.06 de área total, 44.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415971102
 1600000042297 ;MG ;BELO HORIZONTE ;SAO LUIZ ;ALAMEDA DO IPE BRANCO, N. 129, LT 01 QD 03-A ;1.210.897,17;1.900.000,00;36.27;Sim;Casa, 0.00 de área total, 505.00 de área privativa, 1260.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000042297
 8787709538654 ;MG ;BELO HORIZONTE ;FREI LEOPOLDO ;RUA JORNALISTA JORGE BAPTISTA, N. 212, Apto 101, BL 09 1° PAV ;118.942,32;176.000,00;32.42;Não;Apartamento, 79.33 de área total, 45.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709538654
 8787702053221 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA DAS CHACARAS, N. 400, Apto 203, BL F VG 158 ;239.498,36;291.000,00;17.70;Não;Apartamento, 108.10 de área total, 47.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702053221
 8787716350339 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 95, Apto 1004, BL 02 VG 144 LT 01 QD 171 ;218.712,66;256.000,00;14.57;Não;Apartamento, 88.58 de área total, 43.26 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716350339
 8787716907538 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 95, Apto 1204, BL 01 VG 61 LT 01 QD 171 ;227.874,89;256.000,00;10.99;Não;Apartamento, 88.58 de área total, 43.26 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716907538
 8787717247256 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 95, Apto 307, BL 02 VG 124 ;238.525,22;263.000,00;9.31;Não;Apartamento, 92.07 de área total, 45.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717247256
 8787718553431 ;MG ;BELO HORIZONTE ;MANTIQUEIRA ;RUA JORNALISTA PAULO HENEINE, N. 95, Apto 1205, BL 02 VG 143 LT 01 QD 171 ;258.650,38;269.500,00;4.03;Não;Apartamento, 88.58 de área total, 43.26 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718553431
 8444402514603 ;MG ;BELO HORIZONTE ;CEU AZUL ;RUA RADIALISTA JOSE CORREIA, N. 220, CASA 06 LT 04 QD 57 ;210.000,00;210.000,00;0.00;Não;Casa, 66.45 de área total, 58.48 de área privativa, 118.14 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444402514603
 8555509761936 ;MG ;BELO HORIZONTE ;CANDELARIA ;RUA AUGUSTA ALVARENGA INEZ, N. 39, Apto 103, BL 06  LT 14 QUART 47 ;160.000,00;160.000,00;0.00;Não;Apartamento, 0.00 de área total, 45.89 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555509761936
 1444405348684 ;MG ;BELO HORIZONTE ;COPACABANA ;RUA LA PAZ, N. 71, CS 74 BL 6 QD 21 PAV 2 ;181.000,00;181.000,00;0.00;Não;Casa, 41.34 de área total, 41.34 de área privativa, 36.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405348684
 1444406941605 ;MG ;BELO HORIZONTE ;ALIPIO DE MELO ;RUA UIRAPIANA, N. 85, Apto 02,  BL 06 ;265.000,00;265.000,00;0.00;Não;Apartamento, 74.00 de área total, 73.59 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406941605
 1555510972599 ;MG ;BELO HORIZONTE ;BELVEDERE ;RUA PERICLES VIEIRA DE MENDONCA, N. 36, LT 5 QD 10 ;3.000.000,00;3.000.000,00;0.00;Não;Casa, 394.75 de área total, 394.75 de área privativa, 420.00 de área do terreno,  5 qto(s), a.serv, WC, WC Emp, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555510972599
